Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Milton,NWCSTAL,ZZ - DO NOT USE NEW CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,AL03003,ZZ DO NOT USE - 3003 ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALMFURN,ZZ DO NOT USE - AL FURNACE BOTTOMS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALMDROSS,ZZ DO NOT USE - ALUMINUM DROSS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,NON_FERROUS,0.0,1119,1119.0,0,223.8447,223.8447,0.2000
